         30111 function calls (29765 primitive calls) in 1128.944 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.067    0.067 1128.942 1128.942 calc_chunking.py:90(process_file)
        4    0.000    0.000 1128.840  282.210 threading.py:604(wait)
        4    0.000    0.000 1128.840  282.210 threading.py:288(wait)
       19 1128.839   59.413 1128.839   59.413 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000 1128.839 1128.839 pool.py:369(starmap)
        1    0.000    0.000 1128.839 1128.839 pool.py:767(get)
        1    0.000    0.000 1128.839 1128.839 pool.py:764(wait)
        1    0.000    0.000    0.022    0.022 context.py:115(Pool)
     35/4    0.000    0.000    0.016    0.004 <frozen importlib._bootstrap>:1165(_find_and_load)
     35/4    0.000    0.000    0.016    0.004 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     33/4    0.000    0.000    0.016    0.004 <frozen importlib._bootstrap>:666(_load_unlocked)
     20/4    0.000    0.000    0.015    0.004 <frozen importlib._bootstrap_external>:934(exec_module)
     80/8    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     20/4    0.000    0.000    0.014    0.004 {built-in method builtins.exec}
        1    0.000    0.000    0.014    0.014 pool.py:1(<module>)
        1    0.000    0.000    0.007    0.007 pool.py:183(__init__)
        1    0.000    0.000    0.005    0.005 connection.py:1(<module>)
        2    0.005    0.002    0.005    0.002 {built-in method builtins.sorted}
        1    0.000    0.000    0.005    0.005 tempfile.py:1(<module>)
       20    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.004    0.004 pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.004    0.004 pool.py:314(_repopulate_pool_static)
     8871    0.004    0.000    0.004    0.000 {built-in method builtins.print}
        5    0.000    0.000    0.003    0.001 util.py:205(__call__)
       35    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.003    0.003 pool.py:738(__exit__)
        1    0.000    0.000    0.003    0.003 pool.py:654(terminate)
        4    0.000    0.000    0.003    0.001 process.py:110(start)
        1    0.000    0.000    0.003    0.003 pool.py:680(_terminate_pool)
       65    0.001    0.000    0.003    0.000 {built-in method builtins.__build_class__}
    12/11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.003    0.003 {built-in method builtins.__import__}
        4    0.000    0.000    0.003    0.001 context.py:278(_Popen)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
        1    0.000    0.000    0.003    0.003 util.py:1(<module>)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       20    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
        6    0.000    0.000    0.003    0.000 __init__.py:225(compile)
        6    0.000    0.000    0.003    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        4    0.000    0.000    0.003    0.001 popen_fork.py:15(__init__)
       33    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        6    0.000    0.000    0.002    0.000 _compiler.py:738(compile)
       33    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        4    0.000    0.000    0.002    0.001 popen_fork.py:62(_launch)
        1    0.000    0.000    0.002    0.002 textwrap.py:1(<module>)
       75    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.002    0.002 calc_chunking.py:6(get_file_chunks)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
       41    0.000    0.000    0.002    0.000 calc_chunking.py:19(is_new_line)
       33    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.002    0.002 textwrap.py:17(TextWrapper)
       41    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedRandom' objects}
        6    0.000    0.000    0.002    0.000 _parser.py:972(parse)
     23/6    0.000    0.000    0.002    0.000 _parser.py:449(_parse_sub)
     29/6    0.001    0.000    0.002    0.000 _parser.py:509(_parse)
        4    0.002    0.000    0.002    0.000 {built-in method posix.fork}
     8869    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.001    0.000 context.py:110(SimpleQueue)
       15    0.000    0.000    0.001    0.000 popen_fork.py:24(poll)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pool.py:345(_setup_queues)
       15    0.001    0.000    0.001    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.001    0.001 process.py:142(join)
        1    0.000    0.000    0.001    0.001 popen_fork.py:36(wait)
        3    0.000    0.000    0.001    0.000 queues.py:369(put)
