         30121 function calls (29775 primitive calls) in 1.153 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.056    0.056    1.152    1.152 calc_chunking.py:90(process_file)
       20    1.059    0.053    1.059    0.053 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000    1.058    0.265 threading.py:604(wait)
        4    0.000    0.000    1.058    0.265 threading.py:288(wait)
        1    0.000    0.000    1.058    1.058 pool.py:369(starmap)
        1    0.000    0.000    1.058    1.058 pool.py:767(get)
        1    0.000    0.000    1.058    1.058 pool.py:764(wait)
        1    0.000    0.000    0.025    0.025 context.py:115(Pool)
     35/4    0.000    0.000    0.018    0.005 <frozen importlib._bootstrap>:1165(_find_and_load)
     35/4    0.000    0.000    0.018    0.005 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     33/4    0.000    0.000    0.018    0.004 <frozen importlib._bootstrap>:666(_load_unlocked)
     20/4    0.000    0.000    0.017    0.004 <frozen importlib._bootstrap_external>:934(exec_module)
     80/8    0.000    0.000    0.017    0.002 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     20/4    0.000    0.000    0.017    0.004 {built-in method builtins.exec}
        1    0.000    0.000    0.016    0.016 pool.py:1(<module>)
        1    0.000    0.000    0.008    0.008 pool.py:183(__init__)
        1    0.000    0.000    0.007    0.007 connection.py:1(<module>)
        2    0.006    0.003    0.006    0.003 {built-in method builtins.sorted}
        1    0.000    0.000    0.006    0.006 tempfile.py:1(<module>)
       20    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.005    0.005 pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.005    0.005 pool.py:314(_repopulate_pool_static)
     8879    0.004    0.000    0.004    0.000 {built-in method builtins.print}
        4    0.000    0.000    0.004    0.001 process.py:110(start)
    12/11    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.004    0.004 {built-in method builtins.__import__}
        4    0.000    0.000    0.004    0.001 context.py:278(_Popen)
       65    0.001    0.000    0.004    0.000 {built-in method builtins.__build_class__}
       35    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.003    0.003 util.py:1(<module>)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
        4    0.000    0.000    0.003    0.001 popen_fork.py:15(__init__)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        4    0.001    0.000    0.003    0.001 popen_fork.py:62(_launch)
       20    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
        6    0.000    0.000    0.003    0.000 __init__.py:225(compile)
        6    0.000    0.000    0.003    0.000 __init__.py:272(_compile)
        6    0.000    0.000    0.003    0.000 _compiler.py:738(compile)
       33    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
       33    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.003    0.003 textwrap.py:1(<module>)
        5    0.000    0.000    0.003    0.001 util.py:205(__call__)
